element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,1,"=""1517.1965""","=""0.0004""","=""1517.1967""","=""0.0003""","=""6""","=""6.52e+04""",C+,"=""162899.1169""","=""169488.4193""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1517.43113""","=""0.00019""","=""1517.4313""","=""0.0003""","=""32""","=""5.95e+05""",C+,"=""163707.7261""","=""170296.0099""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1517.6335""","=""0.0007""","=""1517.6333""","=""0.0003""","=""4""","=""6.39e+04""",C+,"=""163708.6029""","=""170296.0099""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1518.97238""","=""0.00018""","=""1518.9727""","=""0.0004""","=""63""","=""7.17e+05""",C+,"=""163707.7261""","=""170289.3243""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1519.06122""","=""0.00017""","=""1519.0611""","=""0.0003""","=""99""","=""1.12e+06""",B,"=""163707.7261""","=""170288.9415""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1519.09319""","=""0.00017""","=""1519.0934""","=""0.0004""","=""270""","=""2.33e+06""",B+,"=""163708.6029""","=""170289.6782""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L9097""",
Ne,1,"=""1519.26365""","=""0.00018""","=""1519.2635""","=""0.0003""","=""48""","=""5.76e+05""",C+,"=""163708.6029""","=""170288.9415""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,9,"=""""","=""""","=""1526""","=""3""","=""""","=""1.274e+06""",AA,"=""(9083963)""","=""(9090513.9)""","=""1s.4s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,1,"=""1523.07144""","=""0.00017""","=""1523.0714""","=""0.0003""","=""5300""","=""1.40e+06""",C+,"=""152970.7328""","=""159534.6196""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,2,"=""1526.06260""","=""0.00014""","=""1526.06264""","=""0.00014""","=""162""","=""""",,"=""302425.8139""","=""308976.8347""","=""2s2.2p4.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p4.(3P).5p""","=""2P*""","=""1/2""",,"=""""","=""L11301""",
Ne,1,"=""1534.81896""","=""0.00017""","=""1534.8191""","=""0.0003""","=""160""","=""1.42e+06""",B,"=""163012.6247""","=""169526.2708""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1537.00789""","=""0.00017""","=""1537.0079""","=""0.0003""","=""74""","=""1.05e+06""",C+,"=""163012.6247""","=""169516.9948""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1539.0028""","=""0.0002""","=""1539.0030""","=""0.0003""","=""17""","=""1.28e+05""",C+,"=""163012.6247""","=""169508.5627""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1540.75930""","=""0.00017""","=""1540.7595""","=""0.0003""","=""250""","=""1.60e+06""",B+,"=""163038.3544""","=""169526.8869""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L9097""",
